User Query,Chatbot Response
I'm feeling very anxious lately.,I'm sorry to hear that. Practicing deep breathing or mindfulness can help. Would you like some guided exercises?
I can't sleep at night.,Sleep difficulties can be challenging. Avoid screens before bed and try relaxation techniques. Would you like some sleep hygiene tips?
I'm feeling really down and unmotivated.,It's okay to feel that way sometimes. Engaging in activities you enjoy or talking to someone you trust might help.
How do I deal with panic attacks?,Try grounding techniques like the 5-4-3-2-1 method. Focus on deep breaths and remind yourself that it will pass.
I feel lonely all the time.,You are not alone. Reaching out to a support group or loved ones can help. Would you like some online community suggestions?
How can I reduce stress?,"Exercise, meditation, and journaling are great ways to reduce stress. Would you like some relaxation techniques?"
I think I have depression.,I'm here to support you. It might help to talk to a mental health professional. Would you like some resources?
Why do I feel so overwhelmed?,Sometimes overwhelming feelings come from stress or burnout. Taking small breaks and organizing tasks might help.
How do I improve my self-esteem?,"Practicing self-compassion, setting realistic goals, and surrounding yourself with positivity can improve self-esteem."
I feel like no one understands me.,That must be tough. Talking to a counselor or joining a support group can help you feel heard.
